estado,tipo_produto,icms,iss,pis,cofins
SP,bem,0.18,0.00,0.018,0.085
SP,serviço,0.00,0.05,0.018,0.085
RJ,bem,0.20,0.00,0.018,0.09
RJ,serviço,0.00,0.10,0.018,0.09
MG,bem,0.18,0.00,0.018,0.085
MG,serviço,0.00,0.05,0.018,0.085
ES,bem,0.17,0.00,0.018,0.085
ES,serviço,0.00,0.05,0.018,0.085
BA,bem,0.18,0.00,0.018,0.085
BA,serviço,0.00,0.05,0.018,0.085
PR,bem,0.18,0.00,0.018,0.085
PR,serviço,0.00,0.05,0.018,0.085
RS,bem,0.18,0.00,0.018,0.085
RS,serviço,0.00,0.05,0.018,0.085
SC,bem,0.17,0.00,0.018,0.085
SC,serviço,0.00,0.05,0.018,0.085
PE,bem,0.18,0.00,0.018,0.085
PE,serviço,0.00,0.05,0.018,0.085
CE,bem,0.18,0.00,0.018,0.085
CE,serviço,0.00,0.05,0.018,0.085
GO,bem,0.17,0.00,0.018,0.085
GO,serviço,0.00,0.05,0.018,0.085
MT,bem,0.17,0.00,0.018,0.085
MT,serviço,0.00,0.05,0.018,0.085
AM,bem,0.17,0.00,0.018,0.085
AM,serviço,0.00,0.05,0.018,0.085
AC,bem,0.17,0.00,0.018,0.085
AC,serviço,0.00,0.05,0.018,0.085
RO,bem,0.17,0.00,0.018,0.085
RO,serviço,0.00,0.05,0.018,0.085
TO,bem,0.17,0.00,0.018,0.085
TO,serviço,0.00,0.05,0.018,0.085
AL,bem,0.18,0.00,0.018,0.085
AL,serviço,0.00,0.05,0.018,0.085
SE,bem,0.18,0.00,0.018,0.085
SE,serviço,0.00,0.05,0.018,0.085
PI,bem,0.18,0.00,0.018,0.085
PI,serviço,0.00,0.05,0.018,0.085
PB,bem,0.18,0.00,0.018,0.085
PB,serviço,0.00,0.05,0.018,0.085
RN,bem,0.18,0.00,0.018,0.085
RN,serviço,0.00,0.05,0.018,0.085
DF,bem,0.18,0.00,0.018,0.085
DF,serviço,0.00,0.05,0.018,0.085
MS,bem,0.17,0.00,0.018,0.085
MS,serviço,0.00,0.05,0.018,0.085
